DAY,DATE,HOLIDAY
Thu,2008-11-27,Thanksgiving Day
Wed,2008-11-26,Thanksgiving Day
Fri,2008-11-28,Thanksgiving Day
Thu,2009-11-26,Thanksgiving Day
Wed,2009-11-25,Thanksgiving Day
Fri,2009-11-27,Thanksgiving Day
Thu,2010-11-25,Thanksgiving Day
Wed,2010-11-24,Thanksgiving Day
Fri,2010-11-26,Thanksgiving Day
Thu,2011-11-24,Thanksgiving Day
Wed,2011-11-23,Thanksgiving Day
Fri,2011-11-25,Thanksgiving Day
Thu,2012-11-22,Thanksgiving Day
Wed,2012-11-21,Thanksgiving Day
Fri,2012-11-23,Thanksgiving Day
Tue,2013-01-01,New Year's Day
Mon,2013-01-21,M L King Day
Mon,2013-02-18,Presidents' Day
Fri,2013-03-29,Good Friday
Mon,2013-05-27,Memorial Day
Thu,2013-11-28,Thanksgiving Day
Mon,2012-12-31,New Year's Day
Wed,2013-01-02,New Year's Day
Fri,2013-01-18,M L King Day
Tue,2013-01-22,M L King Day
Fri,2013-02-15,Presidents' Day
Tue,2013-02-19,Presidents' Day
Thu,2013-03-28,Good Friday
Mon,2013-04-01,Good Friday
Fri,2013-05-24,Memorial Day
Tue,2013-05-28,Memorial Day
Wed,2013-11-27,Thanksgiving Day
Fri,2013-11-29,Thanksgiving Day
Wed,2014-01-01,New Year's Day
Mon,2014-01-20,M L King Day
Mon,2014-02-17,Presidents' Day
Fri,2014-04-18,Good Friday
Mon,2014-05-26,Memorial Day
Thu,2014-11-27,Thanksgiving Day
Thu,2014-12-25,Christmas
Tue,2013-12-31,New Year's Day
Thu,2014-01-02,New Year's Day
Fri,2014-01-17,M L King Day
Tue,2014-01-21,M L King Day
Fri,2014-02-14,Presidents' Day
Tue,2014-02-18,Presidents' Day
Thu,2014-04-17,Good Friday
Mon,2014-04-21,Good Friday
Fri,2014-05-23,Memorial Day
Tue,2014-05-27,Memorial Day
Wed,2014-11-26,Thanksgiving Day
Fri,2014-11-28,Thanksgiving Day
Wed,2014-12-24,Christmas
Fri,2014-12-26,Christmas
Thu,2015-01-01,New Year's Day
Mon,2015-01-19,M L King Day
Mon,2015-02-16,Presidents' Day
Fri,2015-04-03,Good Friday
Mon,2015-05-25,Memorial Day
Thu,2015-11-26,Thanksgiving Day
Fri,2015-12-25,Christmas
Wed,2014-12-31,New Year's Day
Fri,2015-01-02,New Year's Day
Fri,2015-01-16,M L King Day
Tue,2015-01-20,M L King Day
Fri,2015-02-13,Presidents' Day
Tue,2015-02-17,Presidents' Day
Thu,2015-04-02,Good Friday
Mon,2015-04-06,Good Friday
Fri,2015-05-22,Memorial Day
Tue,2015-05-26,Memorial Day
Wed,2015-11-25,Thanksgiving Day
Fri,2015-11-27,Thanksgiving Day
Thu,2015-12-24,Christmas
Mon,2015-12-28,Christmas
Fri,2016-01-01,New Year's Day
Mon,2016-01-18,M L King Day
Mon,2016-02-15,Presidents' Day
Fri,2016-03-25,Good Friday
Mon,2016-05-30,Memorial Day
Thu,2016-11-24,Thanksgiving Day
Sun,2016-12-25,Christmas
Thu,2015-12-31,New Year's Day
Mon,2016-01-04,New Year's Day
Fri,2016-01-15,M L King Day
Tue,2016-01-19,M L King Day
Fri,2016-02-12,Presidents' Day
Tue,2016-02-16,Presidents' Day
Thu,2016-03-24,Good Friday
Mon,2016-03-28,Good Friday
Fri,2016-05-27,Memorial Day
Tue,2016-05-31,Memorial Day
Wed,2016-11-23,Thanksgiving Day
Fri,2016-11-25,Thanksgiving Day
Fri,2016-12-23,Christmas
Mon,2016-12-26,Christmas
Sun,2017-01-01,New Year's Day
Mon,2017-01-16,M L King Day
Mon,2017-02-20,Presidents' Day
Fri,2017-04-14,Good Friday
Mon,2017-05-29,Memorial Day
Thu,2017-11-23,Thanksgiving Day
Mon,2017-12-25,Christmas
Fri,2016-12-30,New Year's Day
Mon,2017-01-02,New Year's Day
Fri,2017-01-13,M L King Day
Tue,2017-01-17,M L King Day
Fri,2017-02-17,Presidents' Day
Tue,2017-02-21,Presidents' Day
Thu,2017-04-13,Good Friday
Mon,2017-04-17,Good Friday
Fri,2017-05-26,Memorial Day
Tue,2017-05-30,Memorial Day
Wed,2017-11-22,Thanksgiving Day
Fri,2017-11-24,Thanksgiving Day
Fri,2017-12-22,Christmas
Tue,2017-12-26,Christmas
